lat,lon,ele
-33.422627276,-70.645080198,559.0
-33.422269487,-70.64413426,560.17
-33.419793295,-70.63890158,602.057
-33.416856454,-70.633665955,612.036
-33.414348045,-70.627522538,590.008
-33.412570754,-70.622340628,646.184
-33.411889447,-70.62046046,707.5
-33.410570712,-70.612516505,729.91
-33.409619771,-70.605049133,623.954
-33.411771901,-70.610709158,655.388
-33.413915776,-70.617768194,654.088
-33.414640462,-70.619655979,672.803
-33.417184643,-70.625331697,732.841
-33.418673271,-70.630035295,778.225
-33.42116846,-70.635240983,728.751
-33.423286258,-70.639052787,569.399
-33.425031878,-70.643320376,564.23
-33.426121047,-70.645692577,564.507
-33.426852621,-70.647119272,566.126
-33.427925962,-70.649956719,558.45
-33.430109767,-70.654700976,555.758
-33.431950876,-70.658034306,548.998
-33.433432192,-70.660422047,548.068
-33.434165571,-70.66184808,547.694
-33.435243645,-70.664683933,543.263
-33.437039942,-70.669410533,540.042
-33.438462216,-70.673656531,535.448
-33.439898898,-70.677437896,532.142
-33.40831278,-70.611500021,747.334
-33.409069014,-70.612463099,774.39
-33.412809258,-70.616331392,673.96
-33.416567756,-70.620671238,655.448
-33.417717978,-70.62165147,643.702
-33.420737626,-70.626423187,795.038
-33.422220322,-70.62880259,780.79
-33.422582659,-70.629744135,780.39
-33.425072178,-70.634483787,769.559
-33.427994773,-70.638325262,590.763
-33.428315456,-70.639734557,571.042
-33.432305871,-70.647347741,566.165
-33.436319443,-70.655423429,561.357
-33.437088512,-70.657285486,553.544
-33.439960731,-70.663020517,544.141
-33.441727397,-70.668674405,537.603
-33.442804589,-70.671509509,532.903
-33.443134674,-70.673383617,533.129
-33.445272724,-70.679520694,523.726
-33.445990331,-70.681411443,521.4
-33.447364076,-70.687057803,516.405
-33.449134799,-70.69270596,511.03
-33.451572967,-70.701219123,505.389
-33.454384365,-70.710654528,501.496
-33.456480122,-70.718192022,496.672
-33.458963453,-70.725744981,491.549
-33.459666684,-70.728102588,493.169
-33.462476876,-70.73754774,486.917
-33.463552082,-70.740394646,481.579
-33.465672156,-70.747034357,480.324
-33.467018206,-70.753639214,476.723
-33.467980378,-70.76019151,474.685
-33.467865051,-70.76391163,473.63
-33.467764055,-70.767166857,470.04
-33.467347261,-70.768083214,469.801
-33.463941774,-70.765168925,470.81
-33.462533443,-70.760462031,471.12
-33.46221737,-70.758122221,474.987
-33.461484125,-70.756698689,475.657
-33.461167873,-70.754358665,474.183
-33.461269803,-70.751095148,478.975
-33.460583169,-70.748254004,477.929
-33.459941142,-70.74401071,480.907
-33.459253965,-70.741176166,481.0
-33.457849985,-70.736443855,486.0
-33.456072997,-70.731231523,487.0
-33.455442523,-70.726543682,491.0
-33.453259358,-70.721797792,493.472
-33.452225894,-70.717562145,500.221
-33.450415886,-70.713296734,501.503
-33.448634748,-70.708100194,503.986
-33.447887223,-70.707138802,505.025
-33.445673585,-70.703323375,505.036
-33.444257607,-70.699060776,509.0
-33.442793793,-70.69620317,509.784
-33.440971259,-70.692398893,516.181
-33.439522989,-70.689075414,520.518
-33.438075812,-70.685751114,527.051
